"";"LOAN_AMOUNT";"BRANCH_REGION";"CLIENT_GENDER";"CLIENT_FAMILYSTATUS";"CLIENT_TOTALEXPERIENCE";"CLIENT_EDUCATION";"CLIENT_ACTIVITYTYPE";"CLIENT_TOGETHER.INCOME";"LOAN_OUTSTANDINGLOANSCOUNT";"LOAN_OVERDUE_EXIST_FLAG";"EMPLOYMENTTYPE";"LOAN.TERM";"ZODIAC";"ZODIAC_CHINA";"AGE";"CHANGE.WORK";"REAL_ESTATE";"CAR";"DELAY"
"829";-0,407598395236926;11;0;3;0,900385555598701;5;3;-0,368387193533893;0,454690018071308;0;0;0,876763408013791;10;3;1,52398439171493;0;0;1;0
"830";-0,803116880009456;14;1;5;-0,970114968731905;4;3;-0,682093657809996;-1,29797298953696;1;1;-0,191583059679487;2;11;-0,736896418860081;0;1;1;1
"831";-0,724888743160005;14;0;3;0,737733336091692;4;3;-0,773392322336408;-0,859807237634891;0;1;0,876763408013791;10;6;0,694994761170757;0;1;1;1
"833";-0,185494925272331;18;1;0;-0,319506090703868;5;5;-0,368387193533893;0,454690018071308;1;1;0,876763408013791;3;8;-0,435445644116746;0;0;1;1
"834";-0,534514421196938;0;0;4;1,06303777510571;4;3;-0,648482250923271;-0,421641485732825;1;1;0,876763408013791;11;6;0,770357454856591;0;0;1;1
"835";-0,217224073273859;6;0;0;0,900385555598701;5;2;-0,0882921361445145;2,20735302567957;1;1;0,876763408013791;0;3;0,694994761170757;0;0;1;0
"836";-0,534514421196938;13;1;3;-1,21409329799242;2;2;-0,313488562285574;-0,859807237634891;1;1;0,876763408013791;11;9;-1,41516066203258;1;1;1;0
"837";-0,875502855076986;14;0;4;-0,319506090703868;4;3;-0,647071692214258;-0,421641485732825;0;1;-1,25992952737276;11;8;-0,360082950430913;0;1;1;1
"838";0,417357188618398;9;0;3;-0,8887888589784;0;5;-0,312368182056017;0,454690018071308;0;1;0,876763408013791;4;11;-0,812259112545914;1;0;1;0
"840";-0,217224073273859;15;1;3;-1,05144107848541;5;5;-0,312368182056017;0,0165242661692412;0;1;0,876763408013791;4;8;-1,33979796834675;0;0;1;0
"841";-0,581910593110876;13;0;3;1,63232054338024;0;3;-0,110699740735665;-0,421641485732825;0;1;-1,25992952737276;8;10;1,37325900434326;0;0;1;1
"842";2,46788352017186;14;1;5;-0,644810529717887;0;1;-0,222755689775089;-0,421641485732825;1;1;1,94218289908325;11;10;-0,435445644116746;0;1;1;1
"843";-0,437139209021914;13;0;4;-1,13276718823891;4;1;-0,256349170578141;-0,421641485732825;0;1;-0,191583059679487;2;9;-1,41516066203258;0;1;1;0
"844";-0,0711609719882736;13;1;3;-0,8887888589784;0;3;0,303840944200615;-0,859807237634891;1;1;-0,7213658285904;9;10;-0,51080833780258;0;1;1;0
"845";0,35581382656634;13;1;3;-0,238179980950363;5;1;-0,14431114762239;0,0165242661692412;1;1;-0,191583059679487;2;2;-0,0586321756875784;0;1;1;1
"846";0,417357188618398;6;0;3;-1,37674551749943;5;2;-0,368387193533893;-0,859807237634891;0;1;0,876763408013791;9;9;-1,49052335571842;0;1;1;1
"847";-0,534514421196938;1;0;4;-0,0755277614433541;5;5;-0,312368182056017;2,64551877758164;1;1;0,873836431389973;2;10;-0,435445644116746;0;0;1;0
"848";2,24635854931986;9;0;4;0,656407226338188;0;5;1,20014512784662;3,08368452948371;1;4;1,94803685233089;8;10;0,468906680113257;0;0;1;1
